ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
1,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,26,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",33,24,R - 17+ (violence & profanity),8.81,299019,Original,Finished Airing,Sunrise,Cowboy Bebop,TV
5,1-Sep-01,1 hr. 54 min.,1,"Action, Space, Drama, Mystery, Sci-Fi",398,150,R - 17+ (violence & profanity),8.4,97049,Original,Finished Airing,Bones,Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),Movie
6,"Apr 1, 1998 to Sep 30, 1998",24 min. per ep.,26,"Action, Comedy, Sci-Fi",126,213,PG-13 - Teens 13 or older,8.32,172153,Manga,Finished Airing,Madhouse,Trigun,TV
7,"Jul 2, 2002 to Dec 24, 2002",25 min. per ep.,26,"Action, Drama, Magic, Mystery, Police, Supernatural",981,2165,PG-13 - Teens 13 or older,7.35,30228,Original,Finished Airing,Sunrise,Witch Hunter Robin,TV
8,"Sep 30, 2004 to Sep 29, 2005",23 min. per ep.,52,"Adventure, Fantasy, Shounen, Supernatural",3193,3250,PG - Children,7.05,4494,Manga,Finished Airing,Toei Animation,Beet the Vandel Buster,TV
15,"Apr 6, 2005 to Mar 19, 2008",23 min. per ep.,145,"Action, Sports, Comedy, Shounen",748,457,PG-13 - Teens 13 or older,8.06,43108,Manga,Finished Airing,Studio Gallop,Eyeshield 21,TV
16,"Apr 15, 2005 to Sep 27, 2005",23 min. per ep.,24,"Comedy, Drama, Josei, Romance, Slice of Life",441,348,PG-13 - Teens 13 or older,8.16,50299,Manga,Finished Airing,J.C.Staff,Hachimitsu to Clover (Honey and Clover),TV
17,"Sep 11, 2002 to Sep 10, 2003",23 min. per ep.,52,"Slice of Life, Comedy, Sports, Shounen",2735,1045,PG-13 - Teens 13 or older,7.71,8129,Manga,Finished Airing,Nippon Animation,Hungry Heart: Wild Striker,TV
18,"Apr 17, 2004 to Feb 18, 2006",27 min. per ep.,24,"Action, Cars, Sports, Drama, Seinen",1302,265,PG-13 - Teens 13 or older,8.24,29249,Manga,Finished Airing,A.C.G.T.,Initial D Fourth Stage,TV
19,"Apr 7, 2004 to Sep 28, 2005",24 min. per ep.,74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",148,44,R+ - Mild Nudity,8.7,98534,Manga,Finished Airing,Madhouse,Monster,TV
20,"Oct 3, 2002 to Feb 8, 2007",23 min. per ep.,220,"Action, Comedy, Super Power, Martial Arts, Shounen",8,783,PG-13 - Teens 13 or older,7.84,524031,Manga,Finished Airing,Studio Pierrot,Naruto,TV
21,"Oct 20, 1999 to ?",24 min.,Unknown,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",32,73,PG-13 - Teens 13 or older,8.57,349845,Manga,Currently Airing,Toei Animation,One Piece,TV
22,"Oct 10, 2001 to Mar 23, 2005",22 min. per ep.,178,"Action, Comedy, School, Shounen, Sports",715,506,PG-13 - Teens 13 or older,8.03,43720,Manga,Finished Airing,Trans Arts,Prince of Tennis (The Prince of Tennis),TV
23,"Oct 6, 2004 to Dec 15, 2004",25 min. per ep.,12,"Action, Shounen, Sports",5714,4816,PG - Children,6.65,690,Manga,Finished Airing,Toei Animation,Ring ni Kakero 1,TV
24,"Oct 5, 2004 to Mar 29, 2005",23 min. per ep.,26,"Comedy, Romance, School, Shounen",292,480,PG-13 - Teens 13 or older,8.05,93433,Manga,Finished Airing,Studio Comet,School Rumble,TV
25,"Oct 6, 2004 to Mar 30, 2005",24 min. per ep.,24,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",942,1462,R - 17+ (violence & profanity),7.54,30948,Manga,Finished Airing,Gonzo,Sunabouzu (Desert Punk),TV
26,"Apr 17, 2003 to Sep 25, 2003",23 min. per ep.,22,"Action, Sci-Fi, Psychological, Drama",621,907,R+ - Mild Nudity,7.78,25956,Original,Finished Airing,Madhouse,Texhnolyze,TV
27,"Apr 29, 2005 to Oct 28, 2005",24 min. per ep.,24,"Action, Supernatural, Vampire",520,1902,R - 17+ (violence & profanity),7.42,55960,Light novel,Finished Airing,Gonzo,Trinity Blood,TV
28,"Oct 12, 2004 to Mar 14, 2006",24 min. per ep.,69,"Comedy, Shounen",1169,496,PG-13 - Teens 13 or older,8.04,24393,Manga,Finished Airing,Sunrise,Yakitate!! Japan,TV
29,"Oct 8, 2004 to Apr 1, 2005",24 min. per ep.,26,"Action, Military, Sci-Fi, Historical, Drama, Seinen",3255,1470,PG-13 - Teens 13 or older,7.54,3537,Manga,Finished Airing,Studio Deen,Zipang,TV
30,"Oct 4, 1995 to Mar 27, 1996",24 min. per ep.,26,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",42,222,PG-13 - Teens 13 or older,8.31,303793,Original,Finished Airing,"Gainax,       Tatsunoko Production",Neon Genesis Evangelion,TV
31,15-Mar-97,1 hr. 41 min.,1,"Drama, Mecha, Psychological, Sci-Fi",608,1566,R - 17+ (violence & profanity),7.5,63864,Original,Finished Airing,"Gainax,       Production I.G",Neon Genesis Evangelion: Death &amp; Rebirth,Movie
32,19-Jul-97,1 hr. 27 min.,1,"Sci-Fi, Dementia, Psychological, Drama, Mecha",207,129,R+ - Mild Nudity,8.45,161205,Original,Finished Airing,"Gainax,       Production I.G",Neon Genesis Evangelion: The End of Evangelion,Movie
33,"Oct 8, 1997 to Apr 1, 1998",25 min. per ep.,25,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",174,143,R+ - Mild Nudity,8.42,132212,Manga,Finished Airing,OLM,Berserk,TV
43,18-Nov-95,1 hr. 22 min.,1,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen",164,196,R+ - Mild Nudity,8.34,151303,Manga,Finished Airing,Production I.G,Ghost in the Shell,Movie
44,"Feb 20, 1999 to Sep 22, 1999",30 min. per ep.,4,"Action, Historical, Drama, Romance, Martial Arts, Samurai",434,22,R - 17+ (violence & profanity),8.82,78955,Manga,Finished Airing,Studio Deen,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA
45,"Jan 10, 1996 to Sep 8, 1998",25 min. per ep.,94,"Action, Adventure, Comedy, Historical, Romance, Samurai",216,145,PG-13 - Teens 13 or older,8.42,121306,Manga,Finished Airing,"Studio Gallop,       Studio Deen",Rurouni Kenshin: Meiji Kenkaku Romantan (Rurouni Kenshin),TV
46,20-Dec-97,1 hr. 31 min.,1,"Samurai, Historical, Drama, Shounen",1651,1207,R - 17+ (violence & profanity),7.64,19891,Manga,Finished Airing,Studio Gallop,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie
47,16-Jul-88,2 hr. 4 min.,1,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural",200,357,R+ - Mild Nudity,8.15,154891,Manga,Finished Airing,Tokyo Movie Shinsha,Akira,Movie
48,"Apr 4, 2002 to Sep 26, 2002",24 min. per ep.,26,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",543,2998,PG-13 - Teens 13 or older,7.12,57347,Original,Finished Airing,Bee Train,.hack//Sign,TV
49,"Feb 21, 1993 to May 17, 1994",30 min. per ep.,5,"Comedy, Magic, Romance, Seinen, Supernatural",1609,1947,PG-13 - Teens 13 or older,7.4,19857,Manga,Finished Airing,AIC,Aa! Megami-sama! (Oh! My Goddess),OVA
50,"Jan 7, 2005 to Jul 8, 2005",24 min. per ep.,24,"Comedy, Supernatural, Magic, Romance, Seinen",659,1792,PG-13 - Teens 13 or older,7.44,53658,Manga,Finished Airing,AIC,Aa! Megami-sama! (TV) (Ah! My Goddess),TV
51,"May 25, 2000 to Aug 25, 2000",30 min. per ep.,3,"Action, Drama, Romance, Shoujo, Supernatural",1581,5617,R+ - Mild Nudity,6.44,22387,Manga,Finished Airing,Hal Film Maker,Tenshi Kinryouku (Angel Sanctuary),OVA
52,"Apr 1, 2001 to Sep 23, 2001",24 min. per ep.,26,"Sci-Fi, Comedy, Sports, Drama, Shounen",1467,2258,PG-13 - Teens 13 or older,7.32,21183,Manga,Finished Airing,Bones,Kidou Tenshi Angelic Layer (Battle Doll Angelic Layer),TV
53,"Apr 11, 2002 to Sep 26, 2002",23 min. per ep.,24,"Comedy, Drama, Harem, Romance, Slice of Life",955,2623,PG-13 - Teens 13 or older,7.22,36325,Manga,Finished Airing,J.C.Staff,Ai Yori Aoshi,TV
54,17-Apr-04,1 hr. 45 min.,1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",1231,2686,R - 17+ (violence & profanity),7.2,32143,Manga,Finished Airing,Digital Frontier,Appleseed (Movie),Movie
55,"Apr 5, 1999 to Sep 11, 1999",22 min. per ep.,26,"Action, Adventure, Fantasy, Horror, Sci-Fi",3111,4908,R - 17+ (violence & profanity),6.62,4069,Game,Finished Airing,Bee Train,Arc the Lad,TV
56,"Oct 2, 2003 to Dec 25, 2003",24 min. per ep.,13,"Adventure, Fantasy, Sci-Fi, Shounen",2903,6876,R - 17+ (violence & profanity),6,5047,Original,Finished Airing,"Bee Train,       Xebec",Avenger,TV
57,"Oct 7, 2004 to Mar 31, 2005",25 min. per ep.,26,"Comedy, Drama, Music, Shounen, Slice of Life",369,155,R - 17+ (violence & profanity),8.39,78899,Manga,Finished Airing,Madhouse,Beck (Beck: Mongolian Chop Squad),TV
58,"Oct 8, 1999 to Mar 31, 2000",23 min. per ep.,26,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",1402,3000,R+ - Mild Nudity,7.12,18800,Original,Finished Airing,AIC,Blue Gender,TV
59,"Apr 3, 2002 to Sep 25, 2002",24 min. per ep.,26,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",146,1414,PG-13 - Teens 13 or older,7.55,161217,Manga,Finished Airing,Madhouse,Chobits,TV
60,"Nov 25, 2003 to Jun 10, 2004",23 min. per ep.,24,"Action, Historical, Demons, Supernatural, Romance",407,895,R - 17+ (violence & profanity),7.78,73772,Manga,Finished Airing,Gonzo,Chrno Crusade (Chrono Crusade),TV
61,"Apr 3, 2003 to Sep 25, 2003",23 min. per ep.,26,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",469,2215,PG-13 - Teens 13 or older,7.33,71901,Manga,Finished Airing,Xebec,D.N.Angel,TV
62,"Jul 5, 2003 to Dec 27, 2003",24 min. per ep.,26,"Harem, Drama, Magic, Romance",1225,3743,PG-13 - Teens 13 or older,6.91,22911,Visual novel,Finished Airing,"feel.,       Zexcs",D.C.: Da Capo (D.C.~Da Capo~),TV
63,"Jul 11, 2004 to Sep 26, 2004",23 min. per ep.,12,"Ecchi, Romance, Comedy, Harem, Sci-Fi",698,4249,R+ - Mild Nudity,6.78,55310,Manga,Finished Airing,Daume,DearS,TV
64,"Oct 8, 2004 to Dec 24, 2004",24 min. per ep.,12,"Action, Comedy, Drama, Magic, Seinen",459,1406,PG-13 - Teens 13 or older,7.56,69740,Manga,Finished Airing,Nomad,Rozen Maiden,TV
65,"Oct 21, 2005 to Jan 27, 2006",24 min. per ep.,12,"Action, Comedy, Drama, Magic, Seinen",895,955,PG-13 - Teens 13 or older,7.76,44569,Manga,Finished Airing,Nomad,Rozen Maiden: Tr\xc3\xa4umend,TV
66,"Apr 9, 2002 to Oct 1, 2002",24 min. per ep.,26,"Slice of Life, Comedy, School",313,471,PG-13 - Teens 13 or older,8.05,90278,4-koma manga,Finished Airing,J.C.Staff,Azumanga Daioh (Azumanga Daioh: The Animation),TV
67,"Apr 13, 2005 to Sep 21, 2005",24 min. per ep.,24,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",624,1123,R - 17+ (violence & profanity),7.67,48547,Manga,Finished Airing,Gonzo,Basilisk: Kouga Ninpou Chou (Basilisk),TV
68,"Oct 7, 2005 to Mar 31, 2006",24 min. per ep.,23,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",366,1525,PG-13 - Teens 13 or older,7.51,81530,Manga,Finished Airing,Gonzo,Black Cat,TV
69,"Oct 4, 2005 to Mar 28, 2006",24 min. per ep.,25,"Action, Fantasy, Military, Sci-Fi",3699,5522,PG-13 - Teens 13 or older,6.46,2082,Unknown,Finished Airing,Sunrise,Cluster Edge,TV
71,"Jan 8, 2002 to Jun 18, 2002",24 min. per ep.,24,"Action, Military, Sci-Fi, Comedy, Mecha",156,878,R - 17+ (violence & profanity),7.79,151688,Light novel,Finished Airing,Gonzo,Full Metal Panic!,TV
72,"Aug 26, 2003 to Oct 18, 2003",24 min. per ep.,12,"Action, Comedy, School",312,329,PG-13 - Teens 13 or older,8.18,116549,Light novel,Finished Airing,Kyoto Animation,Full Metal Panic? Fumoffu,TV
73,"Jul 14, 2005 to Oct 20, 2005",24 min. per ep.,13,"Action, Mecha, Military",358,474,R+ - Mild Nudity,8.05,100115,Light novel,Finished Airing,Kyoto Animation,Full Metal Panic! The Second Raid,TV
74,"Oct 30, 2004 to May 14, 2005",25 min. per ep.,26,"Comedy, Magic, School, Shoujo",1148,897,G - All Ages,7.78,30519,Manga,Finished Airing,Group TAC,Gakuen Alice,TV
75,"Jul 5, 2004 to Dec 27, 2004",24 min. per ep.,25,"Action, Drama, Mecha, Military, Sci-Fi",1828,2090,PG-13 - Teens 13 or older,7.37,9744,Original,Finished Airing,Xebec,Soukyuu no Fafner: Dead Aggressor (Fafner of the Blue Sky),TV
76,"Oct 3, 2004 to Dec 26, 2004",25 min. per ep.,13,"Action, Comedy, Drama, Magic, Super Power",1001,1535,PG-13 - Teens 13 or older,7.51,29505,Original,Finished Airing,Seven Arcs,Mahou Shoujo Lyrical Nanoha (Magical Girl Lyrical Nanoha),TV
77,"Oct 2, 2005 to Dec 25, 2005",25 min. per ep.,13,"Action, Comedy, Drama, Magic, Super Power",1413,435,PG-13 - Teens 13 or older,8.09,24206,Original,Finished Airing,Seven Arcs,Mahou Shoujo Lyrical Nanoha A&#039;s (Magical Girl Lyrical Nanoha A&#039;s),TV
79,"Jul 8, 2005 to Jan 6, 2006",23 min. per ep.,24,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",344,2417,R+ - Mild Nudity,7.28,89281,Visual novel,Finished Airing,"Xebec,       Asread",Shuffle!,TV
80,"Apr 7, 1979 to Jan 26, 1980",25 min. per ep.,43,"Action, Military, Sci-Fi, Space, Mecha",1145,718,PG-13 - Teens 13 or older,7.88,25467,Original,Finished Airing,Sunrise,Mobile Suit Gundam,TV
81,"Jan 25, 1996 to Jul 25, 1999",24 min. per ep.,12,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha",1575,404,PG-13 - Teens 13 or older,8.12,21774,Original,Finished Airing,Sunrise,Mobile Suit Gundam: The 08th MS Team,OVA
82,"Mar 25, 1989 to Aug 25, 1989",27 min. per ep.,6,"Military, Sci-Fi, Adventure, Space, Drama, Mecha",2007,768,PG-13 - Teens 13 or older,7.85,14152,Original,Finished Airing,Sunrise,Mobile Suit Gundam 0080: War in the Pocket,OVA
83,1-Aug-98,52 min.,1,"Military, Sci-Fi, Drama, Romance, Mecha",3452,3627,PG-13 - Teens 13 or older,6.95,4478,Original,Finished Airing,Sunrise,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,Movie
84,"May 23, 1991 to Sep 24, 1992",30 min. per ep.,13,"Military, Sci-Fi, Adventure, Space, Drama, Mecha",2192,1777,PG-13 - Teens 13 or older,7.45,12625,Original,Finished Airing,Sunrise,Mobile Suit Gundam 0083: Stardust Memory,OVA
85,"Mar 2, 1985 to Feb 22, 1986",24 min. per ep.,50,"Military, Sci-Fi, Space, Drama, Mecha",1748,526,PG-13 - Teens 13 or older,8.01,16080,Original,Finished Airing,Sunrise,Mobile Suit Zeta Gundam,TV
86,"Mar 8, 1986 to Jan 31, 1987",24 min. per ep.,47,"Military, Sci-Fi, Space, Comedy, Drama, Mecha",2377,4222,PG-13 - Teens 13 or older,6.79,8877,Original,Finished Airing,Sunrise,Mobile Suit Gundam ZZ,TV
87,12-Mar-88,1 hr. 59 min.,1,"Military, Sci-Fi, Space, Drama, Mecha",2255,884,PG-13 - Teens 13 or older,7.79,12313,Novel,Finished Airing,"Sunrise,       Studio Hibari",Mobile Suit Gundam: Char&#039;s Counterattack,Movie
88,16-Mar-91,2 hr.,1,"Military, Sci-Fi, Space, Drama, Mecha",2722,3899,PG-13 - Teens 13 or older,6.87,8052,Unknown,Finished Airing,Sunrise,Mobile Suit Gundam F91,Movie
89,"Apr 2, 1993 to Mar 25, 1994",24 min. per ep.,51,"Military, Sci-Fi, Space, Drama, Mecha",2813,3667,PG-13 - Teens 13 or older,6.94,5128,Original,Finished Airing,"Sunrise,       Studio Deen",Mobile Suit Victory Gundam (Mobile Suit V Gundam),TV
90,"Apr 7, 1995 to Mar 29, 1996",24 min. per ep.,49,"Action, Military, Sci-Fi, Space, Drama, Mecha",751,746,PG-13 - Teens 13 or older,7.86,54900,Original,Finished Airing,Sunrise,Mobile Suit Gundam Wing,TV
91,"Jan 25, 1997 to Jul 25, 1997",30 min. per ep.,3,"Action, Drama, Mecha, Military, Sci-Fi, Space",1808,747,PG-13 - Teens 13 or older,7.86,18276,Original,Finished Airing,Sunrise,Mobile Suit Gundam Wing: Endless Waltz,OVA
92,"Apr 5, 1996 to Dec 28, 1996",24 min. per ep.,39,"Sci-Fi, Adventure, Space, Drama, Mecha",2285,2043,PG-13 - Teens 13 or older,7.38,9158,Original,Finished Airing,Sunrise,Kidou Shin Seiki Gundam X (After War Gundam X),TV
93,"Oct 5, 2002 to Sep 27, 2003",24 min. per ep.,50,"Action, Romance, Mecha, Military, Sci-Fi, Space, Drama",652,671,R - 17+ (violence & profanity),7.91,60812,Original,Finished Airing,Sunrise,Mobile Suit Gundam Seed,TV
94,"Oct 9, 2004 to Oct 1, 2005",24 min. per ep.,50,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",969,2186,R - 17+ (violence & profanity),7.34,43066,Original,Finished Airing,Sunrise,Mobile Suit Gundam Seed Destiny,TV
95,"Apr 9, 1999 to Apr 14, 2000",24 min. per ep.,50,"Action, Military, Sci-Fi, Adventure, Space, Drama, Mecha",2183,962,PG-13 - Teens 13 or older,7.76,7627,Unknown,Finished Airing,"Sunrise,       Nakamura Production",Turn A Gundam (\xe2\x88\x80 Gundam),TV
96,"Apr 1, 1994 to Mar 31, 1995",24 min. per ep.,49,"Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha",1538,1245,PG-13 - Teens 13 or older,7.62,21990,Original,Finished Airing,Sunrise,Mobile Fighter G Gundam,TV
97,"Apr 8, 2003 to Sep 30, 2003",24 min. per ep.,26,"Action, Sci-Fi, Adventure",590,651,PG-13 - Teens 13 or older,7.92,49889,Original,Finished Airing,Gonzo,Last Exile,TV
98,"Sep 30, 2004 to Mar 31, 2005",23 min. per ep.,26,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",850,1345,PG-13 - Teens 13 or older,7.58,39341,Original,Finished Airing,Sunrise,Mai-HiME (My-Hime),TV
99,"Oct 7, 2005 to Mar 31, 2006",24 min. per ep.,26,"Comedy, Drama, Fantasy, Magic",1561,1998,PG-13 - Teens 13 or older,7.39,20104,Original,Finished Airing,Sunrise,Mai-Otome (My ZHiME),TV
100,"Apr 4, 2001 to Jun 27, 2001",23 min. per ep.,13,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",1516,2272,PG-13 - Teens 13 or older,7.32,19607,Manga,Finished Airing,Hal Film Maker,Shin Shirayuki-hime Densetsu Pr\xc3\xa9tear,TV
101,"Jan 7, 2005 to Apr 1, 2005",24 min. per ep.,13,"Slice of Life, Supernatural, Drama, Romance",277,1704,PG-13 - Teens 13 or older,7.46,110166,Visual novel,Finished Airing,Kyoto Animation,Air,TV
102,"Apr 3, 2004 to Oct 9, 2004",25 min. per ep.,26,"Comedy, Drama, Romance, Shoujo",987,1366,PG-13 - Teens 13 or older,7.57,36660,Manga,Finished Airing,TMS Entertainment,Aishiteruze Baby\xe2\x98\x85\xe2\x98\x85,TV
103,"Jan 7, 1994 to Jun 30, 1995",24 min. per ep.,74,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",3535,1662,G - All Ages,7.47,2946,Manga,Finished Airing,Studio Gallop,Akazukin Chacha (Red Riding Hood Chacha),TV
104,"Apr 20, 2000 to Sep 28, 2000",21 min. per ep.,24,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",1492,2096,R - 17+ (violence & profanity),7.36,19388,Manga,Finished Airing,Studio Pierrot,"Ayashi no Ceres (Ceres, Celestial Legend)",TV
105,"Apr 11, 2000 to Jul 4, 2000",23 min. per ep.,13,"Slice of Life, Comedy, Romance, Shounen",2622,5100,PG-13 - Teens 13 or older,6.57,6665,Manga,Finished Airing,Hal Film Maker,Boys Be...,TV
106,"Sep 8, 1996 to Aug 31, 1997",25 min. per ep.,51,"Drama, Romance, School, Shoujo",1785,714,PG-13 - Teens 13 or older,7.88,13138,Manga,Finished Airing,Toei Animation,Hana yori Dango,TV
107,"May 15, 2002 to Aug 14, 2002",24 min. per ep.,13,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",2032,2269,PG-13 - Teens 13 or older,7.32,10291,Manga,Finished Airing,Studio Deen,Ou Dorobou Jing (Jing: King of Bandits),TV
108,"Jan 21, 2004 to Apr 28, 2004",30 min. per ep.,3,"Adventure, Fantasy, Psychological, Comedy, Shounen",3375,1971,PG-13 - Teens 13 or older,7.4,4298,Unknown,Finished Airing,Studio Deen,Ou Dorobou Jing in Seventh Heaven,OVA
109,"Apr 7, 2004 to Sep 15, 2004",23 min. per ep.,24,"Adventure, Comedy, Mecha, Sci-Fi",1260,3713,PG-13 - Teens 13 or older,6.92,22846,Original,Finished Airing,Gonzo,Bakuretsu Tenshi (Burst Angel),TV
110,"Apr 27, 1997 to Sep 13, 1998",23 min. per ep.,52,"Action, Comedy, Drama, Shounen",3335,1058,PG-13 - Teens 13 or older,7.7,4332,Manga,Finished Airing,Nippon Animation,Chuuka Ichiban!,TV
111,"Apr 9, 1999 to Oct 20, 2000",25 min. per ep.,52,"Sci-Fi, Adventure, Comedy, Magic",3548,3769,PG - Children,6.9,3573,Original,Finished Airing,Nippon Animation,Corrector Yui,TV
112,"Jan 12, 2004 to Mar 1, 2004",14 min. per ep.,8,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",4046,8138,PG-13 - Teens 13 or older,5.08,2192,Original,Finished Airing,"Imagin,       Studio Live",Chou Henshin Cosprayers (The Cosmopolitan Prayers),TV
113,"Apr 3, 2003 to Sep 25, 2003",23 min. per ep.,26,"Action, Romance, Sci-Fi, Space",2585,1697,PG-13 - Teens 13 or older,7.47,6915,Original,Finished Airing,Xebec,Uchuu no Stellvia (Stellvia of the Universe),TV
114,"Oct 3, 2003 to Mar 26, 2004",12 min. per ep.,26,"Comedy, School, Shounen",919,527,PG-13 - Teens 13 or older,8.01,31061,Manga,Finished Airing,Production I.G,Sakigake!! Cromartie Koukou (Cromartie High School),TV
115,"Jan 8, 1998 to Mar 26, 1998",25 min. per ep.,13,"Adventure, Comedy, Fantasy",3659,3685,PG-13 - Teens 13 or older,6.93,3540,Original,Finished Airing,AIC,El Hazard: The Alternative World,TV
116,"Oct 6, 1995 to Mar 29, 1996",23 min. per ep.,26,"Adventure, Comedy, Romance, Fantasy",3229,3099,PG-13 - Teens 13 or older,7.09,4551,Original,Finished Airing,AIC,El Hazard: The Wanderers (El-Hazard: The Wanderers),TV
117,"May 26, 1995 to Jan 25, 1996",34 min. per ep.,7,"Adventure, Comedy, Fantasy, Romance",3126,1841,PG-13 - Teens 13 or older,7.43,5097,Original,Finished Airing,AIC,El Hazard: The Magnificent World,OVA
118,"Mar 21, 1997 to Oct 25, 1997",30 min. per ep.,4,"Adventure, Comedy, Fantasy",3986,3517,PG-13 - Teens 13 or older,6.98,3080,Original,Finished Airing,AIC,El Hazard 2: The Magnificent World,OVA
119,"Oct 3, 2004 to Dec 26, 2004",14 min. per ep.,13,"Comedy, Drama, Romance, Slice of Life",1978,4673,PG-13 - Teens 13 or older,6.68,13861,Visual novel,Finished Airing,Zexcs,Final Approach,TV
120,"Jul 5, 2001 to Dec 27, 2001",24 min. per ep.,26,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",176,877,PG-13 - Teens 13 or older,7.79,153496,Manga,Finished Airing,Studio Deen,Fruits Basket,TV
121,"Oct 4, 2003 to Oct 2, 2004",24 min. per ep.,51,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",17,218,PG-13 - Teens 13 or older,8.31,424290,Manga,Finished Airing,Bones,Fullmetal Alchemist,TV
122,"Apr 6, 2002 to Mar 29, 2003",24 min. per ep.,52,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",1041,447,PG-13 - Teens 13 or older,8.07,28733,Manga,Finished Airing,Studio Deen,Full Moon wo Sagashite (Searching for the Full Moon),TV
123,"Apr 6, 1995 to Mar 28, 1996",23 min. per ep.,52,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",1007,942,PG-13 - Teens 13 or older,7.76,31342,Manga,Finished Airing,Studio Pierrot,Fushigi Yuugi (Mysterious Play),TV
124,"Dec 21, 2001 to Jun 25, 2002",30 min. per ep.,4,"Adventure, Fantasy, Romance, Drama, Shoujo",2967,3488,PG-13 - Teens 13 or older,6.99,6647,Manga,Finished Airing,Studio Pierrot,Fushigi Yuugi: Eikouden (Mysterious Play: Eikoden),OVA
125,"Oct 6, 2004 to Dec 29, 2004",24 min. per ep.,13,"Comedy, Romance, School",2004,4921,PG-13 - Teens 13 or older,6.62,12119,Original,Finished Airing,Telecom Animation Film,Futakoi (Twin Love),TV
126,"Apr 7, 2005 to Jun 30, 2005",24 min. per ep.,13,"Comedy, Drama, Romance",2132,3421,PG-13 - Teens 13 or older,7.01,8996,Original,Finished Airing,"ufotable,       feel.,       Studio Flag",Futakoi Alternative,TV
127,"Apr 3, 2000 to Sep 18, 2000",25 min. per ep.,24,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",2656,3222,PG-13 - Teens 13 or older,7.06,6620,Game,Finished Airing,Gonzo,Gate Keepers,TV
128,"Apr 24, 2002 to Jan 8, 2003",30 min. per ep.,6,"Action, Drama, Mecha, Sci-Fi, Shounen",3624,3813,PG-13 - Teens 13 or older,6.89,3554,Game,Finished Airing,Gonzo,Gate Keepers 21,OVA
129,"Apr 4, 2000 to Mar 27, 2001",23 min. per ep.,50,"Adventure, Comedy, Supernatural, Drama, Shounen",1702,1061,R - 17+ (violence & profanity),7.7,13591,Manga,Finished Airing,Studio Pierrot,Gensoumaden Saiyuuki (Saiyuki),TV
130,"Oct 2, 2003 to Mar 25, 2004",20 min. per ep.,25,"Action, Adventure, Comedy, Drama, Fantasy, Shoujo",2447,1498,PG-13 - Teens 13 or older,7.53,7865,Manga,Finished Airing,Studio Pierrot,Saiyuuki Reload (Saiyuki Reload),TV
131,"Apr 2, 2004 to Sep 24, 2004",24 min. per ep.,26,"Action, Adventure, Comedy, Fantasy, Shoujo",2943,1459,PG-13 - Teens 13 or older,7.54,5106,Manga,Finished Airing,Studio Pierrot,Saiyuuki Reload Gunlock (Saiyuki Gunlock),TV
132,"Oct 5, 2002 to Sep 20, 2003",24 min. per ep.,49,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",871,1044,PG-13 - Teens 13 or older,7.71,34728,Manga,Finished Airing,Studio Deen,GetBackers,TV
